"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"dst_host_srv_diff_host_rate",15.2611991338661,15.1630465348534,12.4468062667804,18.8231305183457,1,"Confirmed"
"icmp",16.6226001008103,16.5970562416121,13.3999632627152,18.3679709772162,1,"Confirmed"
"tcp",11.7478127959739,11.7038540068956,10.0034716102972,13.2190432148453,1,"Confirmed"
"udp",10.501095360239,10.6447362019137,8.84364844999246,11.8076144388228,1,"Confirmed"
"IRC",5.05238719210401,5.20172905682618,3.45603914486174,6.52432586476869,0.96969696969697,"Confirmed"
"X11",2.21286439841968,2.27082595378339,1.76319357132974,2.75901991508868,0,"Rejected"
"Z39_50",2.75199661250517,2.77619551764812,1.01661297661339,4.00108848253827,0.525252525252525,"Tentative"
"aol",0,0,0,0,0,"Rejected"
"auth",2.6657378126459,2.69778571165699,0.420336695736329,4.09011248322682,0.464646464646465,"Tentative"
"bgp",1.54141834054704,1.56066266197711,-0.0317724255175807,2.77894207996833,0,"Rejected"
"courier",2.50167632340041,2.51162668747042,0.0985749254666406,4.38101424255649,0.404040404040404,"Tentative"
"csnet_ns",2.01052095386058,1.96901194702659,1.15160408208184,2.90410970768354,0,"Rejected"
"ctf",1.35017799680685,1.39878509758307,-0.47450283040151,2.24710508988563,0,"Rejected"
"daytime",2.2735072333268,2.3164338935488,1.36134530555154,3.00157327188916,0.0202020202020202,"Rejected"
"discard",1.59809329390819,1.72993798721625,0.366663392908887,2.80983541517564,0,"Rejected"
"domain",1.30595480887451,1.25418710027863,0.457328233126568,2.12302712629116,0,"Rejected"
"domain_u",6.88346724866996,7.18781953376472,4.00434800016731,8.60558973520091,1,"Confirmed"
"echo",1.51860073880845,1.57981197959279,-0.474765880882292,2.58055181012566,0,"Rejected"
"eco_i",14.8435408680812,14.8489089961367,13.4430317935994,16.6256173451219,1,"Confirmed"
"ecr_i",18.5400102010564,18.5134724166971,16.4521924717351,20.7587811555354,1,"Confirmed"
"efs",1.95092844276987,2.06834408364687,0.375092138458214,3.17608141656528,0.0303030303030303,"Rejected"
"exec",1.5285047145148,1.51972686095994,1.00100150250438,2.15024776253316,0,"Rejected"
"finger",6.85524146570792,6.81720987655311,5.80287152562026,8.0216142789026,1,"Confirmed"
"ftp",11.6748816073702,11.6334534094115,9.98279329382069,13.0207342078415,1,"Confirmed"
"ftp_data",14.3511715870275,14.3053588568091,11.7174724289709,16.8756955205568,1,"Confirmed"
"gopher",2.02262670659228,2.09338892293577,0.526263005845227,3.5588652306106,0.0303030303030303,"Rejected"
"harvest",0,0,0,0,0,"Rejected"
"hostnames",0.29130380370538,0.334158090071666,-1.7649181005541,1.30761480207432,0,"Rejected"
"http",10.2379087380079,10.2798393623716,6.16013727887299,13.6702852474479,1,"Confirmed"
"http_2784",0,0,0,0,0,"Rejected"
"http_443",3.56786506299703,3.70049685488393,2.22712683158755,4.90402251970067,0.878787878787879,"Confirmed"
"http_8001",0,0,0,0,0,"Rejected"
"imap4",3.22207407554185,3.25164035977677,2.09099471036058,4.44834232935065,0.828282828282828,"Confirmed"
"iso_tsap",2.29897068707737,2.21502114480085,1.11434032628514,4.05907967627948,0.222222222222222,"Rejected"
"klogin",3.19962946115674,3.17595640297268,2.08231401571547,4.36338814385448,0.818181818181818,"Confirmed"
"kshell",1.08457414469032,1.17379929518227,-0.982773453308744,2.14549689773022,0,"Rejected"
"ldap",1.10258427514863,1.43647265517155,-1.57601923082791,2.28117405754927,0,"Rejected"
"link",2.15634991073028,2.25765893715319,1.31103046246943,3.08870284865035,0.0101010101010101,"Rejected"
"login",2.52308726040667,2.49542845052541,1.55469505876926,4.03868757574873,0.404040404040404,"Tentative"
"mtp",1.08626224363144,0.788532812140326,-0.819950614291411,3.40985076899828,0.0101010101010101,"Rejected"
"name",2.13554798188736,2.1012198718334,0.951300794179378,3.37197171410505,0.0303030303030303,"Rejected"
"netbios_dgm",1.45582817031471,1.6151976554878,0.346423554288222,2.3054389734825,0,"Rejected"
"netbios_ns",1.11892530681732,1.31581634330279,-0.345363930884266,2.43975850943333,0,"Rejected"
"netbios_ssn",1.16918375459518,1.27444957277367,-0.425559011132613,1.84356432622081,0,"Rejected"
"netstat",1.71918940505719,1.72058255089114,1.1349036578137,2.25242452557393,0,"Rejected"
"nnsp",2.410588606058,2.40345625687837,1.5932343079521,3.81236597422855,0.101010101010101,"Rejected"
"nntp",1.19354591280647,1.15453948579851,-0.0307459081067596,2.67512219577337,0,"Rejected"
"ntp_u",1.79307441119119,1.64470118858703,1.27966928047327,2.67778240259655,0.0101010101010101,"Rejected"
"other",9.48893873256359,9.28936747828375,7.617194121786,11.9389885963765,1,"Confirmed"
"pm_dump",0,0,0,0,0,"Rejected"
"pop_2",0.213640949756003,0.561687969341274,-1.66918936394697,1.63842913426642,0,"Rejected"
"pop_3",2.66566963225053,2.6844906307961,0.705562944080503,3.90263673273629,0.525252525252525,"Tentative"
"printer",-0.209512577452661,-0.224266759459983,-1.52321199033509,1.00100150250438,0,"Rejected"
"private",16.66498508245,16.6879128995231,15.2314939690019,17.815245582258,1,"Confirmed"
"red_i",1.45068918613212,1.4680203317872,0,2.00803481674417,0,"Rejected"
"remote_job",0.357609755713257,0,-1.00100150250438,1.40607886944054,0,"Rejected"
"rje",0.362532395979897,0.637352784598647,-1.44873738651269,2.13586358229164,0,"Rejected"
"shell",0.0627067507788722,-0.0973906006923246,-1.34042600152815,1.80668475637423,0,"Rejected"
"smtp",6.21616751452687,6.284945777543,3.17019170651153,9.02829618722298,1,"Confirmed"
"sql_net",0.222407231738366,0.201460808909567,-1.10799105899442,1.61960019841835,0,"Rejected"
"ssh",1.94740421814001,1.87725885454341,0.580562306521044,3.7969038643104,0.0202020202020202,"Rejected"
"sunrpc",1.71839953653614,1.70165135364222,0.133316026338076,2.99731915492077,0.0202020202020202,"Rejected"
"supdup",1.91561988908585,1.99084394213863,1.23879524975482,2.57999290823427,0,"Rejected"
"systat",1.56944720104698,1.70338227725124,1.00100150250438,2.42848702018289,0,"Rejected"
"telnet",7.10218170540513,7.07936991028395,5.28318588500693,8.4773062997301,1,"Confirmed"
"tftp_u",0,0,0,0,0,"Rejected"
"tim_i",0,0,0,0,0,"Rejected"
"time",2.78532729106561,2.85468818257092,1.88169145776354,3.59509279860583,0.575757575757576,"Tentative"
"urh_i",0,0,0,0,0,"Rejected"
"urp_i",7.90511786488781,7.89073582816131,6.12901794539604,9.55826694393856,1,"Confirmed"
"uucp",3.53961970694598,3.617229705032,2.29032755827474,4.42338894963892,0.878787878787879,"Confirmed"
"uucp_path",3.45085220057146,3.3888025677199,1.84576843539134,4.92635727243552,0.828282828282828,"Confirmed"
"vmnet",1.85267432850522,1.69454071614313,0.893792828289799,2.71092459623069,0,"Rejected"
"whois",2.2670398818075,2.28897452662951,0.144713930448662,3.49121446775653,0.323232323232323,"Tentative"
"OTH",1.74779049024691,1.70249134277913,1.00100150250438,2.70494419332126,0,"Rejected"
"REJ",8.75427888993173,8.74337006062684,7.24639567041791,10.3994997243841,1,"Confirmed"
"RSTO",7.59897791465719,7.55927535583505,6.05802142721529,8.97083597565931,1,"Confirmed"
"RSTOS0",5.85507322935122,5.9015166469211,4.76616164880283,6.96005656232904,1,"Confirmed"
"RSTR",14.1860188881226,14.192920072791,12.7761266686107,15.7818227823153,1,"Confirmed"
"S1",6.5798989497305,6.59547146118234,5.29673470114482,7.75224888001853,1,"Confirmed"
"S2",3.21263835506121,3.1273605964014,1.93865264757469,5.15938662255691,0.757575757575758,"Confirmed"
"S3",0,0,0,0,0,"Rejected"
"SF",14.3211348798548,14.3145793971744,12.9593109650755,16.1138182468953,1,"Confirmed"
"SH",9.45484485251144,9.40374733146306,8.29828392920211,11.1320714142699,1,"Confirmed"
